['AHAA44631', '安徽省合肥市安徽百姓缘大药房连锁有限公司祁门路店', '合肥市包河区内蒙古路1号\n', '31.78838,117.33413']
['AHAA44629', '安徽省合肥市安徽百姓缘大药房连锁有限公司九华山', '合肥市庐阳区飞凤街路饮服103-1\n', '31.8588,117.2754']
['AHAA27389', '安徽省合肥市安徽百姓缘大药房连锁有限公司凤阳东路店', '合肥市水阳江路菱水苑北7幢112室\n', '31.819710000000004,117.28680000000001']
['AHAA45705', '安徽省合肥市安徽百姓缘大药房连锁有限公司肥西小庙', '合肥市蜀山区小庙镇卫星路74号\n', '31.84402,117.01969']
['AHAA12839', '安徽百姓缘大药房连锁香樟店', '安徽省合肥市高新区香樟大道272号\n', '31.833929999999995,117.19494']
['AHAA27388', '安徽省合肥市安徽百姓缘大药房连锁有限公司淝河路店', '安徽省合肥市包河区淝河路凤巢园35号楼9-12门面\n', '31.845609999999997,117.30507000000001']
['AHAA12836', '安徽百姓缘大药房连锁史河路店', '安徽省合肥市蜀山区史河路38号\n', '31.862420000000004,117.23561999999998']
['AHAA12830', '安徽百姓缘大药房连锁阜阳路店', '合肥市庐阳区荣事达大道223号\n', '31.878230000000027,117.28743000000003']
['AHAA12837', '安徽百姓缘大药房连锁铜陵南路店', '安徽百姓缘大药房连锁有限公司和煦园店\n', '31.89407,117.27514']
['AHAA12835', '安徽百姓缘大药房连锁青年路店', '安徽省合肥市包河区望江路与青年路交口西南侧综合楼门面\n', '31.84581,117.34321000000001']
['AHAA11254', '安徽省合肥市安徽百姓缘大药房连锁有限公司马鞍山路', '安徽省合肥市包河区马鞍山路海顿国际广场（绿地赢海国际大厦D座）\n', '31.829820000000005,117.30245000000002']
['AHAA10767', '安徽省合肥市安徽百姓缘大药房连锁有限公司临泉东路', '安徽省合肥市瑶海区龙岗开发区临泉东路与顺祥路交叉口皇马花园一期8号楼\n', '31.87711,117.38588']
['AHAA10773', '安徽省合肥市安徽百姓缘大药房连锁有限公司万绿园店', '安徽省合肥市新站区铜陵北路橘郡万绿园综合楼一层\n', '31.87512,117.3238']
['AHAA12832', '安徽百姓缘大药房连锁有限公司木匠李路店', '安徽省合肥市蜀山区木匠李路新文采花园1#西区-103\n', '31.85853,117.21066']
['AHAA10764', '安徽省合肥市安徽百姓缘大药房连锁有限公司和平路店', '安徽省合肥市瑶海区和平路89号\n', '31.85356,117.33387']
['AHAA101621', '安徽百姓缘大药房连锁有限公司明光路店', '安徽省合肥市瑶海区明光路喻苑新村北楼101号门面\n', '31.86735,117.30546']
['AHAA100497', '安徽百姓缘大药房连锁有限公司望湖北路店', '合肥市包河区东流路9号\n', '31.81524,117.29759']
['AHAA03006', '安徽省合肥市安徽百姓缘大药房连锁有限公司巢湖路店', '安徽省合肥市巢湖路春雨花园5号楼商业门面102号\n', '31.85609,117.30386']
['AHAA03007', '安徽省合肥市安徽百姓缘大药房连锁有限公司长江西路店', '安徽省合肥市长江西路306号\n', '31.85396,117.25345']
['AHAA46183', '安徽省合肥市安徽百姓缘大药房连锁有限公司合作化南路店', '安徽省合肥市蜀山区合作化南路114号\n', '31.84723,117.25147']
['AHAA02787', '安徽百姓缘大药房连锁公司板桥店', '安徽省合肥市庐阳区濉溪路2号1幢\n', '31.88025,117.28948']
['AHAC61776', '安徽广济大药房连锁有限公司撮镇店', '安徽省合肥市肥东县撮镇镇撮西居委会南大街\n', '31.82335,117.46363']
['AHAA60760', '安徽广济大药房连锁有限公司桂王路店', '安徽省合肥市肥东县经济开发区桂王路\n', '31.88386,117.44467']
['AHAA105319', '安徽广济大药房元一名城店', '合肥市包河经济开发区包河苑纬零路以北三层楼1#126-127号门面房\n', '31.79793,117.31961']
['AHAA107793', '安徽国胜大药房连锁有限公司天通路店', '安徽国胜大药房连锁有限公司藕塘路店\n', '31.89388,117.27305']
['AHAA107794', '安徽国胜大药房连锁有限公司长江中路店', '合肥市庐阳区长江中路426号金川大厦101、106号\n', '31.86102,117.27324']
['AHQB67782', '安徽国胜大药房连锁有限公司庐江三店', '安徽省合肥市庐江县庐城镇城北交通路1#101-102号门面房\n', '31.2569,117.29287']
['AHAB107397', '安徽国胜大药房连锁有限公司庐江大卖场店', '安徽省合肥市庐江县庐城镇城北塔山路与黄山路交叉口西南角\n', '31.25661,117.28806']
['AHAA68020', '安徽国胜大药房连锁有限公司大学城店', '安徽省合肥经开区桃花工业园学林雅苑108号\n', '31.758437,117.202615']
['AHAA66792', '安徽国胜大药房连锁有限公司皖江路店', '安徽省合肥市当涂支路与皖江路交口和昌都汇华府商131、132、133号\n', '31.82356,117.31011']
['AHAA67235', '安徽国胜大药房连锁有限公司太和路店', '合肥市庐阳区阜阳北路荣城花园南苑16号门面\n', '31.912709,117.27529799999998']
['AHAA66699', '安徽国胜大药房连锁有限公司科大花园店', '合肥市包河区桐城南路188号桐城绿苑8A、8B2-商108\n', '31.82154,117.27789']
